电影,#genre#
退伍老兵车祸流浪10年,瘦到皮包骨拒绝帮助,跨越3000公里终于回家🐯,https://www.huya.com/29874185
谍影重重 黑客帝国 烧脑系列,http://3501776.xyz:35455/huya/11352917



举起手来-惊险抗日,https://www.yy.com/1382736877
绝版电影 港片女鬼,https://www.yy.com/1455988450
绝版电影港片女鬼,https://www.yy.com/1461579859
林正英-经典电影,https://www.yy.com/34229877
林正英全集,https://www.yy.com/1353685311
古惑仔,https://www.yy.com/1458015189
林正英 僵尸 鬼片,https://www.yy.com/1351505899
【港片】赌片 动作,https://www.yy.com/24921161
赌神 港片 喜剧,https://www.yy.com/1355112116
【成龙经典】动作,https://www.yy.com/34460526
电影 古惑仔全集,https://www.yy.com/1354507447
【周星驰】搞笑电影,https://www.yy.com/38670875
李连杰功夫 经典武侠,https://www.yy.com/74613175
动作港片电影,https://www.yy.com/1459801818
鬼片.惊悚.港片,https://www.yy.com/1355497884
经典港片动作搞笑,https://www.yy.com/1459869766
港片 恐怖片 鬼片,https://www.yy.com/1353850051
成龙系列,https://www.yy.com/1354888751
经典大片合集,https://www.yy.com/1382749895
三国演义94年经典版,https://www.yy.com/1354936241
(周星驰)超经典搞笑电影,https://www.yy.com/29945997
林正英合集,https://www.yy.com/1453996620
鬼片、港片3000部,https://www.yy.com/1335509613
港片电影,https://www.yy.com/33897188
林正英电影,https://www.yy.com/1382841203
动作 港片电影,https://www.yy.com/1461037999
老妖恐鬼片,https://www.yy.com/1354952229
M恐怖片正在直播,https://www.yy.com/1352956876
电影 电影,https://www.yy.com/1460889796
【电影】顶级动作电影,https://www.yy.com/24923327
鬼经典老片,https://www.yy.com/1463783198
奇缘港台影院,https://www.yy.com/1354889234
搞笑经典电影,https://www.yy.com/1351537467
第一滴血全集,https://www.yy.com/1354932355
泡芙陪你看电影,https://www.yy.com/24407222
星爷经典-百看不厌,https://www.yy.com/1382736808
木乃伊全集,https://www.yy.com/1354889024
经典鬼片3000部,https://www.yy.com/29460894
敢死队-精彩动作电影,https://www.yy.com/1382735573
变形金刚,https://www.yy.com/1382736803
恐怖电影,https://www.yy.com/1458572505
港片鬼片老电影,https://www.yy.com/1355269576
欧美港澳台影院,https://www.yy.com/1382627144
【港台】鬼片 惊悚 喜剧,https://www.yy.com/1351030377
萌萌爱追剧,https://www.yy.com/1382745093
经典抗日电影,https://www.yy.com/1354936141
经典动作电影,https://www.yy.com/1370293254
国内玄幻电影-林正英,https://www.yy.com/1354932444
黑衣人1、2—动作喜剧大片,https://www.yy.com/1354930936
国内喜剧,https://www.yy.com/1382851598
漫威超级英雄系列,https://www.yy.com/1354932402
速度与激情系列！-精彩大片,https://www.yy.com/1382736911
大话西游至尊宝,https://www.yy.com/1382736910
科幻片：来看神奇的地球,https://www.yy.com/1354930897
国内战争电影,https://www.yy.com/1382736865
国外高分大片,https://www.yy.com/1382736867
国外科幻,https://www.yy.com/1382736800
国外科幻大作合集,https://www.yy.com/1382736836
科幻电影,https://www.yy.com/1354930209
外国科幻大片,https://www.yy.com/1382747628
战争大片-国外电影,https://www.yy.com/1382736857
赌神-发哥,https://www.yy.com/1354889044
科幻惊悚片-异形,https://www.yy.com/1382735543
美国队长史蒂夫,https://www.yy.com/1382736813
侏罗纪公园三部曲,https://www.yy.com/1354936191
华子系列,https://www.yy.com/1354888726
漫威十年老粉福利来了,https://www.yy.com/1354930233
动作大片,https://www.yy.com/1354888739
香港动作大片,https://www.yy.com/1382736816
太空生命？高分科幻电影开播,https://www.yy.com/1382851586
超英集结,https://www.yy.com/1382745091
史诗级战争大片,https://www.yy.com/1382745092
致敬星爷致敬经典,https://www.yy.com/1354889048
机械战警1-3,https://www.yy.com/1382736854
奥斯卡战争大片,https://www.yy.com/1354932397
发哥系列,https://www.yy.com/1354888733
超级英雄系列电影,https://www.yy.com/1382736863
科幻大片,https://www.yy.com/1382745181
燃爆动作片,https://www.yy.com/1382736801
洪大哥系列,https://www.yy.com/1354888743
雷神系列,https://www.yy.com/1354932441
喜剧闹翻天,https://www.yy.com/1382735548
【科幻电影】,https://www.yy.com/1355065896
科幻大作-星际旅行1-11,https://www.yy.com/1382736903
超炫科幻大片,https://www.yy.com/1382736840
【科幻】超炫特效,https://www.yy.com/37988782
高分科幻动作片,https://www.yy.com/1382749948
热门喜剧,https://www.yy.com/1354931495
金牌配角达叔系列,https://www.yy.com/1354888728
震撼！国内功夫大片,https://www.yy.com/1382736902
老卓电影,https://www.yy.com/1354770516
鬼片恐怖私家影院,https://www.yy.com/1354209316
洪金宝福星系列,https://www.yy.com/1354924839

【周星驰】星爷 电影 喜剧 经典 神乐,https://www.douyu.com/122402
✨神乐✨欧美 电影 科幻 动作 经典喜剧,https://www.douyu.com/20415
【蓝翔】60帧原画电影 华语喜剧,https://www.douyu.com/276200
粤语电影⭐周星驰 林正英 经典喜剧 白话,https://www.douyu.com/6566671
【贝贝】军旅 喜剧 动作~武汉妹子陪看！,https://www.douyu.com/431460
【神乐】华语 经典 电影 沈腾 周杰伦,https://www.douyu.com/85894
【贝爷影厅】欧美 科幻 动作 经典 电影,https://www.douyu.com/252802
【贝爷MAX厅】60帧电影 科幻 动作,https://www.douyu.com/4332
❤️怡寶❤️港台 科幻 喜剧 动作,https://www.douyu.com/434971
【贝爷影厅】小众电影 欧美 日韩 二号厅,https://www.douyu.com/36337
Rainsun宇的直播间,https://www.douyu.com/323876
【恐怖电影】 僵尸 丧尸 灾难片,https://www.douyu.com/310926
【冰冰冰冰】恐怖 经典 喜剧 和你一起,https://www.douyu.com/74374
❤️小U❤️丧尸 鬼片 恐怖 惊悚 电影,https://www.douyu.com/96577
【女神金】60帧 蓝光原画 刀刀陪看,https://www.douyu.com/747764
❤️凌儿❤️看电影看剧 开森过大年~,https://www.douyu.com/1377142
【林正英】僵尸 女鬼 弹幕 护体,https://www.douyu.com/218859
【神 剧】的直播间,https://www.douyu.com/3439096
【邵氏影院】经典武侠 动作 老电影你懂的,https://www.douyu.com/4246519
【瑶瑶】童年阴影 鬼片 恐怖 惊悚,https://www.douyu.com/2935323
【经典巨制】欧美大片,https://www.douyu.com/2793084
星爷 经典 喜剧 科幻 动作,https://www.douyu.com/508118
[奇光]周星驰，喜剧，经典，24h,https://www.douyu.com/8009547
【表妹】国产青春 动作 喜剧轮播,https://www.douyu.com/5423
【漫威】漫威主线剧情 最佳观影顺序,https://www.douyu.com/6140589
【倍速播放】快乐会加倍！,https://www.douyu.com/4105989
【静静】经典电影 MV 周星驰 林正英,https://www.douyu.com/5668371
｛林.正.英｝僵尸片,https://www.douyu.com/12176174
4K❤电影院❤ 喜剧悬疑文艺科幻灾难动作,https://www.douyu.com/12192607
译制国语影片荟萃,https://www.douyu.com/2436390
【PDD影院】一起see那些年的经典,https://www.douyu.com/1274132
一个只播恐怖片的直播间,https://www.douyu.com/12068394
米白的乌柿,https://www.douyu.com/12243076
【成龙】给我一把板凳，我可以打10个！,https://www.douyu.com/3379942
漫威宇宙主线剧情最佳观影顺序,https://www.douyu.com/11673725
【豆瓣高分】史上最佳影片大放送,https://www.douyu.com/8770422
电影最TOP,https://www.douyu.com/2164691
【变种人】除掉任何阻碍我们的人,https://www.douyu.com/9651304
我在斗鱼豆瓣排名电影,https://www.douyu.com/6432827
漫威迷集合,https://www.douyu.com/1713615
【搞笑】我叫孙火旺，论优秀没输过,https://www.douyu.com/9770949

电视剧,#genre#
亮剑,https://www.huya.com/30080238
海绵宝宝,https://www.huya.com/11352919
西游记,https://www.huya.com/26355861
康熙微服私访记,https://www.huya.com/11342418
倚天屠龙记,https://www.huya.com/11342403
三国,https://www.huya.com/11602081
封神榜,https://www.huya.com/23749096
天龙八部97,https://www.huya.com/23903123
猫和老鼠,https://www.huya.com/11352879
三国 ,https://www.huya.com/11352944
埋堆堆港剧,https://www.huya.com/23735126
敢死队,https://www.huya.com/23864973
欢迎来到我是靓宝的直播间,https://www.huya.com/23728660
谢霆锋版绝代双骄~,https://www.huya.com/29465867
水浒传,https://www.huya.com/26355860
宝莲灯前传,https://www.huya.com/21059557
法海你不懂爱,https://www.huya.com/26355768
活佛济公,https://www.huya.com/11342400
风云2,https://www.huya.com/21059612
李寻欢,https://www.huya.com/11342417
西游记 西游记续集,https://www.huya.com/30086873
金庸经典,https://www.huya.com/11602082
唯爱尹天雪,https://www.huya.com/21059567
笑傲江湖电视剧,https://www.huya.com/26355790
天龙八部03,https://www.huya.com/20985816
宝莲灯前传🐯,https://www.huya.com/21059563

少年包青天,https://www.yy.com/1356043677
寻秦记-穿越剧经典,https://www.yy.com/1382749900
水浒传,https://www.yy.com/1353873252
少年包青天1~3蓝光版,https://www.yy.com/38498680
天龙八部,https://www.yy.com/1351814644
倚天屠龙记,https://www.yy.com/1449856066
【神雕侠侣】金庸经典,https://www.yy.com/1382704651
西游记后传 蓝光,https://www.yy.com/1353392400
少年包青天,https://www.yy.com/1382651363
倚天屠龙记 超清,https://www.yy.com/1354755003
西游记张卫健版,https://www.yy.com/1354936155
三国演义【1994】,https://www.yy.com/1354930932
小兵张嘎,https://www.yy.com/1354930225
寻秦记-穿越剧经典,https://www.yy.com/1382851591
双月之城-国漫,https://www.yy.com/1382736907
【济公】游本昌,https://www.yy.com/25519088
济公,https://www.yy.com/1355265814
【电视剧】天下第一,https://www.yy.com/1354780649
西游记后传,https://www.yy.com/1382736846
本山快乐营1,https://www.yy.com/1354936209
上海滩,https://www.yy.com/1382745184
永远的经典系列,https://www.yy.com/1354930204

三国演义,https://www.douyu.com/7459925
万合天宜王大锤,https://www.douyu.com/9220456
大星与海绵方块,https://www.douyu.com/3949681
美丽的孔雀公主,https://www.douyu.com/3113309
傲娇的超级赛亚人的直播间,https://www.douyu.com/4373285
【回首往事】仨房间画面同步显示,https://www.douyu.com/1569773
【电视剧】本直播间由天使点播提供技术支持,https://www.douyu.com/7623292
[怀旧剧场] 剧经典,https://www.douyu.com/7119207
【六小龄童】你挑着担，我牵着马,https://www.douyu.com/8953746
✨爱你孤身走暗巷！爱你不跪的模样✨,https://www.douyu.com/7528160
❤️下饭神剧❤️,https://www.douyu.com/3700024
【影视剧】总有一部你喜欢的经典影视,https://www.douyu.com/11774356
【默鱼】陪你一起看剧～,https://www.douyu.com/11922242
天撅星送江,https://www.douyu.com/8997387
❤️新老三国❤️鼎之轻重，何以问呼？,https://www.douyu.com/12253936
【金庸武侠】致敬经典,https://www.douyu.com/9285904
【西游】由爱故生怨，怨恨纠缠,https://www.douyu.com/10198644
【步惊云】金鳞岂是池中物，一遇风云便化龙,https://www.douyu.com/9290755
菠萝屋 周一电脑休息,https://www.douyu.com/11595245
【嘎子】我不偷狗了！,https://www.douyu.com/8366759
[Hi欣影厅]自助点播放映厅,https://www.douyu.com/11996166
小小天才的搞笑段子,https://www.douyu.com/9419678
鲜肉老师！,https://www.douyu.com/9815091
宋小宝,https://www.douyu.com/9374865

综艺,#genre#
重温春晚爆笑经典小品,https://www.huya.com/11602068
脱口秀来了，就是让你笑,https://www.huya.com/11352875
tu槽大会 笑死人不偿命,https://www.huya.com/21059555
欢迎来到摄氏零度的直播间,https://www.huya.com/11602032
[脱口秀大会4] doing what呢？,https://www.huya.com/30080243
新水浒传·在下正是西公子！,https://www.huya.com/11342384
音乐小石榴,https://www.huya.com/17091681
【音乐大乱斗】整理歌单中,https://www.huya.com/28602479
24小时点歌啦！,https://www.huya.com/25261191
分享最好♬音质音乐ღ,https://www.huya.com/1048902
【经典好歌】一起听,https://www.huya.com/20616876
天赐5, 超多爆火歌曲, 一起来听！,https://www.huya.com/30080249

赵本山《超清版》,https://www.yy.com/1382683959
赵本山《蓝光版》,https://www.yy.com/32160832
宋小宝小品合集,https://www.yy.com/1354931577
欢乐集结号-每天笑不停,https://www.yy.com/1382741642
动物世界-领略原始野性,https://www.yy.com/1382743138
动物世界,https://www.yy.com/1382749889
了不起的萝莉小玲,https://www.yy.com/1382736799
今夜欢乐颂,https://www.yy.com/1382735572
易中天品三国,https://www.yy.com/1354931498
小宝让你乐翻天：6到9集,https://www.yy.com/1354930971
欢乐集结号,https://www.yy.com/1354931582

巩汉林春晚小品合集,https://www.yy.com/1354889035
爆笑小品,https://www.yy.com/1354931503
金星脱口秀-爆笑回归,https://www.yy.com/1382749951
吐槽大会 第5季,https://www.yy.com/1354889009
欢乐集结号,https://www.yy.com/1382735550
欢乐集结号3,https://www.yy.com/1382736822
单挑荒野第一季,https://www.yy.com/1354933535
笑傲帮,https://www.yy.com/1382735555
本山快乐营,https://www.yy.com/1354933529
小生物的故事,https://www.yy.com/1382736834
宋小宝春晚小品合集,https://www.yy.com/1382736866
最后的狮子-探险纪录片,https://www.yy.com/1382735577
你最爱的宋小宝,https://www.yy.com/1354936198
欢乐集结号2,https://www.yy.com/1354930919
野性欧洲,https://www.yy.com/1354926622
闲暇观看综艺,https://www.yy.com/1354932379
地球上的地狱,https://www.yy.com/1382736918
吐槽大会 第2季,https://www.yy.com/1354936145
欢乐集结号4,https://www.yy.com/1382736889
欢乐集结号58-70,https://www.yy.com/1382745119
百家讲坛――之明太祖朱元璋,https://www.yy.com/1354936149
本山快乐营2,https://www.yy.com/1382736718
原始人大挑战,https://www.yy.com/1382736884
9.8分！这部纪录片封神了,https://www.yy.com/1382736825
一起来笑吧,https://www.yy.com/1454859415
本山快乐营-爆笑小品,https://www.yy.com/1354930948
王朝-自然-纪录片,https://www.yy.com/1354930927
本山快乐营,https://www.yy.com/1382736852
超治愈！奇趣动物园,https://www.yy.com/1382735545
赵本山爆笑小品2,https://www.yy.com/1354936217
万里走单骑-解密世界遗产的互动综艺,https://www.yy.com/1382736853
穿越古今，最美中国戏来袭,https://www.yy.com/1354936178
喜乐街,https://www.yy.com/1354936231
蔡明春晚小品,https://www.yy.com/1354936177
超美！国家自然纪录片,https://www.yy.com/1382736913
揭秘！经典传奇背后的未解之谜,https://www.yy.com/1382736912
爱煙雨,https://www.yy.com/1382818085
金星脱口秀：我敢说你敢听吗,https://www.yy.com/1382735552
一分钟学道菜,https://www.yy.com/1382736901
爆笑小品大合集,https://www.yy.com/1382736821
欢乐饭米粒儿，笑点密集来袭,https://www.yy.com/1382736798
爆笑来袭-小品欢乐集结号,https://www.yy.com/1382735558
小沈阳春晚小品,https://www.yy.com/1382749941

自说自话的总裁,https://www.douyu.com/9317739
开心麻花经典小品,https://www.douyu.com/10153463
老高与小茉的死忠粉,https://www.douyu.com/236461
宋小宝小品,https://www.douyu.com/9817729
贾玲经典小品,https://www.douyu.com/10419541
【正版】经典小品，下饭必备,https://www.douyu.com/9067836
周杰伦颜老师,https://www.douyu.com/7537296
赵本山经典小品,https://www.douyu.com/9817716
小约翰可汗,https://www.douyu.com/9738854
【阿七点歌台】MV 热歌 经典 流行,https://www.douyu.com/3186217
演唱会颜老师,https://www.douyu.com/11880223
【吐槽】吐槽一下，快乐一天,https://www.douyu.com/9236042
老烟斗鬼故事,https://www.douyu.com/2337939
带你领略宇宙星海—碎片记,https://www.douyu.com/9412981
许君聪经典小品,https://www.douyu.com/10419558
宇宙探索飞船,https://www.douyu.com/9456028

辽视欢乐大集锦,https://www.douyu.com/9403712
欢乐小饭米粒,https://www.douyu.com/9403690
世界未解之谜M,https://www.douyu.com/9369468
经典小品相声乐不停,https://www.douyu.com/9273031

中二日记搞笑动画,https://www.douyu.com/9505575
辽视组团上春晚,https://www.douyu.com/9406416
贝爷求生影视,https://www.douyu.com/9661369
猛禽西伯利亚白猿,https://www.douyu.com/10074407
3030相声小品,https://www.douyu.com/9286868
纪录片之家字幕组,https://www.douyu.com/8834003
恰饭橘,https://www.douyu.com/7974136
龙视欢乐英雄转,https://www.douyu.com/9374836
辽视辽宁春晚集锦,https://www.douyu.com/9403738
胥渡吧直播号,https://www.douyu.com/2040822
发现放映室,https://www.douyu.com/8791622
中国喜剧力量,https://www.douyu.com/9403781
宇宙视界,https://www.douyu.com/9498354
经典拳赛,https://www.douyu.com/9412138
音乐台长,https://www.douyu.com/9629943
科学放映室,https://www.douyu.com/9439712
天才简史,https://www.douyu.com/8662915
电影幕后喵,https://www.douyu.com/8884074



影片,#genre#
周处除三害HD,https://vdn6.vzuu.com/FHD/683acd86-d92b-11ee-8e89-e612311e17dc-v8_f2_t1_lt47s5CP.mp4?pkey=AAXMfeKoB_fI1KmFPSQciIKPe77iiWVFBSkH3k2LwDBub89_yCkopNRYmr8_-Nl3pWa8fMB5TdeH9aGluG8GHg7R&c=avc.8.0&f=mp4&pu=1513c7c2&bu=1513c7c2&expiration=1710262506&v=ks6?pp=ChMxNDAxNjIzODY1NzM5NTc5MzkyGGMiC2ZlZWRfY2hvaWNlMhMxMzY5MDA1NjA4NTk5OTA0MjU3PXu830Q=
第二十条TH,https://vip.ffzy-play2.com/20240215/59562_169d8bd2/2000k/hls/mixed.m3u8
热辣滚烫TH,https://ikcdn01.ikzybf.com/20240213/qeySwP3F/2000kb/hls/index.m3u8
飞驰人生2TH,https://v.gsuus.com/play/7e5k0kqb/index.m3u8
暴走财神5HD,https://v.cdnlz12.com/20240214/11569_e1ddc734/2000k/hls/mixed.m3u8
熊出没·逆转时空HD,https://vip.ffzy-online2.com/20230521/37661_330568c0/index.m3u8
金手指HD国,https://vip.ffzyread1.com/20240213/24278_dc4a204f/2000k/hls/mixed.m3u8
金手指HD粤,https://v.cdnlz12.com/20240213/11556_3642faee/2000k/hls/mixed.m3u8
非诚勿扰3HD,https://vip.ffzyread.com/20240210/23322_b4dde191/2000k/hls/mixed.m3u8
醉拳,https://txmov2.a.kwimgs.com/upic/2021/09/30/18/BMjAyMTA5MzAxODM1NTFfMTI0MzE0NjMyOF81ODEwNDc3MzAzOF8yXzM=_b_B1b01bbe5b567f842b3de0b78109d1907.mp4
醉拳,https://vip.ffzy-play7.com/20230202/13070_b42acba9/index.m3u8
双龙会,https://alimov2.a.kwimgs.com/upic/2021/10/01/19/BMjAyMTEwMDExOTA1MDVfMTI0MzE0NjMyOF81ODE5NzY0NzAyOF8yXzM=_b_B6eb284159f267349ab21b64feb3d48ce.mp4
双龙会,https://vip.ffzy-play6.com/20221112/6064_afbd5214/index.m3u8
龙门飞甲,http://jsmov2.a.yximgs.com/bs3/video-hls/5203346449046555193_hlsb.m3u8
龙门飞甲,https://cdn2.yzzy-tv-cdn.com/20220331/4883_7f84c204/index.m3u8
黄飞鸿之狮王争霸,https://alimov2.a.kwimgs.com/upic/2020/05/15/08/BMjAyMDA1MTUwODQ5NTdfMjEyNDgzMjg2XzI4NTc1ODg4MzEyXzJfMw==_b_Bd4d927d62d45dd2f3e065114d9aebb25.mp4
黄飞鸿之铁鸡斗蜈蚣,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634242822045870_hlsb.m3u8
黄飞鸿之铁鸡斗蜈蚣,https://cdn2.yzzy-tv-cdn.com/20220415/13227_56714be0/index.m3u8
黄飞鸿之男儿当自强,https://txmov2.a.kwimgs.com/upic/2020/05/16/01/BMjAyMDA1MTYwMTAyMjFfMjEyNDgzMjg2XzI4NjI3OTAwNTc5XzJfMw==_b_Bc1101c249e7355d840c4495b7bfd84a4.mp4
黄飞鸿之壮志凌云,http://jsmov2.a.yximgs.com/bs3/video-hls/5189554175568165120_hlsb.m3u8
义胆雄心,http://jsmov2.a.yximgs.com/bs3/video-hls/5237686462055775486_hlsb.m3u8
义胆雄心,https://vip.ffzy-play7.com/20221129/7714_a0c75de1/index.m3u8
东成西就,http://jsmov2.a.yximgs.com/bs3/video-hls/5235434664056492833_hlsb.m3u8
东方三侠,http://jsmov2.a.yximgs.com/bs3/video-hls/5222205346628851891_hlsb.m3u8
人在囧途,http://jsmov2.a.yximgs.com/bs3/video-hls/5239093847755471351_hlsb.m3u8
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
A计划,http://jsmov2.a.yximgs.com/bs3/video-hls/5240501212096709355_hlsb.m3u8
A计划,https://vip.ffzy-play7.com/20221115/4631_7c6bb09a/index.m3u8
九一神雕侠侣,http://jsmov2.a.yximgs.com/bs3/video-hls/5227553349016599035_hlsb.m3u8
九一神雕侠侣,https://vip.ffzy-play6.com/20221112/6044_68796407/index.m3u8
九二神雕之痴心情长剑,http://jsmov2.a.yximgs.com/bs3/video-hls/5188428323796620673_hlsb.m3u8
刀剑笑,http://jsmov2.a.yximgs.com/bs3/video-hls/5215168447635500734_hlsb.m3u8
刀剑笑,https://vip.ffzy-play7.com/20221112/3808_6690be34/index.m3u8
天若有情,http://jsmov2.a.yximgs.com/bs3/video-hls/5246412168297899387_hlsb.m3u8
天若有情,https://vip.ffzy-play6.com/20221112/6132_760d67fd/index.m3u8
龙兄虎弟,http://jsmov2.a.yximgs.com/bs3/video-hls/5250352837791566632_hlsb.m3u8
龙兄虎弟,https://vip.ffzy-play6.com/20221116/7264_5b0b594e/index.m3u8
东方秃鹰,http://jsmov2.a.yximgs.com/bs3/video-hls/5218546164654879826_hlsb.m3u8
东方秃鹰,https://vip.ffzy-play7.com/20221209/9044_d3e0dbd4/index.m3u8
投名状,https://cdn13.yzzy-tv-cdn.com/20230128/9592_3d21d729/index.m3u8
中南海保镖,https://cdn12.yzzy-tv-cdn.com/20221209/8943_e3bd0850/index.m3u8
杀手之王,https://cdn10.yzzy-tv-cdn.com/20221023/2307_200a0670/index.m3u8
太极张三丰,https://cdn8.yzzy-tv-cdn.com/20220713/4780_8d927b57/index.m3u8
黄飞鸿之一:壮志凌云,https://cdn4.yzzy-tv-cdn.com/20220617/21900_8ceba9f5/index.m3u8
黄飞鸿之二:男儿当自强,https://cdn4.yzzy-tv-cdn.com/20220606/17341_21dfaf46/index.m3u8
黄飞鸿之三:狮王争霸,https://cdn1.yzzy-tv-cdn.com/20220517/cZrm0twN/index.m3u8
黄飞鸿之西域雄狮,https://cdn1.yzzy-tv-cdn.com/20220415/eAed3SPA/index.m3u8
冒险王,https://cdn4.yzzy-tv-cdn.com/20220608/17622_c083f16b/index.m3u8
精武英雄,https://cdn5.yzzy-tv-cdn.com/20220607/22255_9e00edb7/index.m3u8
少林寺,https://cdn4.yzzy-tv-cdn.com/20220606/17324_133ab69b/index.m3u8
少林小子,https://vip.ffzy-play7.com/20230216/14926_434969e4/index.m3u8
方世玉,https://cdn4.yzzy-tv-cdn.com/20220606/17350_39c4425b/index.m3u8
方世玉续集,https://vip.ffzy-play6.com/20221129/9315_1d7ec0af/index.m3u8
鼠胆龙威,https://cdn1.yzzy-tv-cdn.com/20220517/lAsQeigJ/index.m3u8
南北少林,https://cdn2.yzzy-tv-cdn.com/20220428/16621_c12279b7/index.m3u8
新少林五祖,https://cdn1.yzzy-tv-cdn.com/20220416/dqxi6ilh/index.m3u8
给爸爸的信,https://cdn2.yzzy-tv-cdn.com/20220414/13070_86734093/index.m3u8
倚天屠龙记之魔教教主,https://cdn1.yzzy-tv-cdn.com/20220406/COULYl8d/index.m3u8
花木兰,https://cdn2.yzzy-tv-cdn.com/20220405/7667_13f7046c/index.m3u8
龙在天涯,https://cdn2.yzzy-tv-cdn.com/20220331/4882_d282e1a0/index.m3u8
笑傲江湖2：东方不败,https://cdn2.yzzy-tv-cdn.com/20220331/4843_724c1ac5/index.m3u8
不二神探,https://cdn2.yzzy-tv-cdn.com/20220330/4069_8714f6bb/index.m3u8
功夫之王,https://cdn1.yzzy-tv-cdn.com/20220326/Fu3xA9TS/index.m3u8
封神传奇,https://cdn1.yzzy-tv-cdn.com/20220326/ga3SHNAV/index.m3u8
建国大业,https://cdn1.yzzy-tv-cdn.com/20220325/lWDJZBdb/index.m3u8
英雄,https://vip.ffzy-play7.com/20221227/9993_9681b67b/index.m3u8
白蛇传说,https://vip.ffzy-play7.com/20221224/9605_263ee1e0/index.m3u8
黄飞鸿92之龙行天下,https://vip.ffzy-play7.com/20221129/7657_0e98ee6f/index.m3u8
东方巨龙,https://vip.ffzy-play6.com/20221117/7362_01e144e6/index.m3u8
黑侠,https://vip.ffzy-play6.com/20221112/6336_a08140a7/index.m3u8
霍元甲,https://vip.ffzy-play2.com/20221021/234_50a8a4b6/index.m3u8
师兄撞鬼,https://vip.ffzy-play6.com/20221207/10610_200b5bd4/index.m3u8
97家有喜事,https://vip.ffzy-play6.com/20221129/9285_97e3dfc9/index.m3u8
算死草,https://vip.ffzy-play6.com/20221112/6085_3636efbb/index.m3u8
行运一条龙,https://vip.ffzy-play6.com/20221112/6024_432f2afd/index.m3u8
龙的传人,https://vip.ffzy-play7.com/20221112/3556_7788de32/index.m3u8
咖喱辣椒,https://vip.ffzy-play7.com/20221112/3509_1a0443fd/index.m3u8
西游降魔篇,https://vip.ffzy-play6.com/20221019/206_b74a99b9/index.m3u8
长江七号,https://vip.ffzy-play6.com/20221022/1070_3b7b263a/index.m3u8
神话,https://vip.ffzy-play6.com/20221017/20_989dd1f8/index.m3u8
